smiles,name
c1ccc2c(c1C(=O)N)nc([nH]2)[C@@]1(NCCC1)C,1
c1c2c(c(c(c1C(=O)NOCCO)Nc1ccc(cc1Cl)Br)F)ncn2C,2
n1cc(c(c2cc(c(cc12)OCCCN1CCN(CC1)C)OC)Nc1c(cc(c(c1)OC)Cl)Cl)C#N,3
n1c(nc(cc1Nc1ncc(s1)C(=O)Nc1c(cccc1C)Cl)N1CCN(CC1)CCO)C,4
c1(ccc(c(c1)Nc1nccc(n1)c1cccnc1)C)NC(=O)c1ccc(cc1)CN1CCN(CC1)C.OS(=O)(=O)C,5
c1c(cc2c(c1)ncnc2Nc1ccc(c(c1)Cl)OCc1cccc(c1)F)c1oc(cc1)CNCCS(=O)(=O)C.c1c(ccc(c1)S(=O)(=O)O)C.c1c(ccc(c1)S(=O)(=O)O)C,6
S(=O)(=O)(CCSSCCS(=O)(=O)[O-])[O-].[Na+].[Na+],7
[C@@H]1([C@@H](C[C@@H](CC1)C[C@H]([C@@H]1CC(=O)[C@@H](/C=C(\\C)/[C@H]([C@H](C(=O)[C@@H](C[C@@H](/C=C/C=C/C=C(/[C@H](C[C@@H]2CC[C@H]([C@](C(=O)C(=O)N3[C@H](C(=O)O1)CCCC3)(O2)O)C)OC)\\C)C)C)OC)O)C)C)OC)O,8
c1(ccc(cc1C(F)(F)F)NC(=O)Nc1ccc(cc1)Oc1ccnc(c1)C(=O)NC)Cl.c1cc(ccc1S(=O)(=O)O)C,9
c1(ccc2c(c1)/C(=C/c1[nH]c(c(c1C)C(=O)NCCN(CC)CC)C)/C(=O)N2)F.C(=O)(C[C@@H](C(=O)O)O)O,10
c1cccc(c1)NC(=O)CCCCCCC(=O)NO,11
c1cccc2c1c(n[nH]c2=O)Cc1cc(c(cc1)F)C(=O)N1CCN(CC1)C(=O)C1CC1,12
c1(ccccc1)c1c(nc2c(c1)c1n(cc2)c(=O)[nH]n1)c1ccc(cc1)C1(CCC1)N.Cl.Cl,13
c12c(c(c(cc1)Oc1ncnn3c1c(c(c3)OC[C@@H](C)O)C)F)cc([nH]2)C,14
c1(c2ccc(cc2)CNC)c2c3c([nH]1)cc(cc3C(=O)NCC2)F.P(=O)(O)(O)O,15
C(O)CO[C@H]1[C@@H](C[C@@H](CC1)C[C@@H]([C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2([C@@H](CC[C@H](O2)C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C1)C)/C)O)OC)C)C)/C)OC)C)O)C)OC,16
C(=O)(c1ccc(cc1)CNc1nc(ccn1)c1cnccc1)Nc1c(cccc1)N,17
c12c(c(ccn1)Oc1ccc(cc1)NC(=O)C1(C(=O)Nc3ccc(cc3)F)CC1)cc(c(c2)OC)OC,18
C(=O)(C(=C1SC=CS1)C(=O)OC(C)C)OC(C)C,19
c12c(c(c(cc1)Oc1ncnn3c1c(c(c3)OC[C@@H](C)OC(=O)[C@@H](N)C)C)F)cc([nH]2)C,20
c1c(c(cc(c1C(C)(C)C)NC(=O)c1c(=O)c2c([nH]c1)cccc2)O)C(C)(C)C,21
c1ccccc1C(=O)O[C@H]1C2[C@]3([C@@H](C[C@@H]([C@@]2(C)C(=O)[C@H](O)C2=C([C@H](C[C@@]1(C2(C)C)O)OC(=O)[C@@H]([C@H](c1ccccc1)NC(=O)OC(C)(C)C)O)C)O)OC3)OC(=O)C,22
c1cccc(c1)C(=O)N[C@H]([C@H](C(=O)O[C@H]1C[C@@]2(C(C(=C1C)[C@H](C(=O)[C@]1(C([C@]3([C@@H](C[C@@H]1O)OC3)OC(=O)C)[C@@H]2OC(=O)c1ccccc1)C)OC(=O)C)(C)C)O)O)c1ccccc1,23
n1c(c(cn(c1=O)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)C)F)NC(=O)OCCCCC,24
c1c(ccc(c1)S(=O)(=O)Nc1c(nccc1)Nc1ccc(cc1)O)OC,25
c1cccc(c1)/C=c/1\\[nH]c(=O)/c(=C/c2c([nH]cn2)C(C)(C)C)/[nH]c1=O,26
c1nc(cc(c1)Oc1cc(c(cc1)NC(=O)Nc1ccc(c(c1)C(F)(F)F)Cl)F)C(=O)NC,27
c1(nc(cc(n1)N1CCN(CC1)C)Nc1n[nH]c(c1)C)/C=C/c1ccccc1,28
[C@@H]1(CN2[C@@H](C1)C(=O)N[C@@]1(C(=O)NS(=O)(=O)C3CC3)[C@@H](C1)/C=C\\CCCCC[C@@H](C2=O)NC(=O)OC(C)(C)C)OC(=O)N1Cc2c(C1)c(ccc2)F,29
c1ccccc1C[C@@H]([C@H](C[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)N(Cc1csc(n1)C(C)C)C)C(C)C)O)NC(=O)OCc1cncs1,30
C(=O)([C@@](COc1ccc(cc1)C#N)(C)O)Nc1cc(c(cc1)C#N)C(F)(F)F,31
c1c(cc(cc1Cn1cncn1)C(C)(C)C#N)C(C)(C)C#N,32
n1[nH]c(=O)[nH]c1CN1[C@H]([C@H](OCC1)O[C@H](C)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1ccc(cc1)F,33
C(=O)(C(CS(=O)(=O)c1ccc(cc1)F)(C)O)Nc1cc(c(cc1)C#N)C(F)(F)F,34
c1(ccc2c(c1)C[C@H]([C@H]1[C@@H]3CC[C@@H]([C@@]3(C)CC[C@H]21)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F)O,35
C(=O)([C@H](CCC(=O)O)NC(=O)c1ccc(s1)N(Cc1cc2c(=O)[nH]c(nc2cc1)C)C)O,36
C1(=O)C=C[C@]2(C(=C1)C(=C)C[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@H]21)C,37
n1c(c2c(nc1Cl)n(cn2)[C@H]1C[C@@H]([C@H](O1)CO)O)N,38
[C@H]1(O[C@@H]([C@H](C1)O)CO)n1cnc(nc1=O)N,39
C1=C[C@]2([C@H](NC1=O)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)Nc1cc(ccc1C(F)(F)F)C(F)(F)F)C)C,40
c1(ccc(c(c1)Cl)NC(=O)Nc1cc(on1)C)Oc1ccnc2c1cc(c(c2)OC)OC,41
c1ccc2c(c1OC)C(=O)c1c(C2=O)c(c2c(c1O)[C@H](C[C@@](C2)(C(=O)CO)O)O[C@H]1C[C@@H]([C@@H]([C@@H](O1)C)O)N)O.Cl,42
c1(=O)[nH]c(=O)c(c[nH]1)F,43
n1c(nc2c(c1N)nc(cn2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C)N,44
c1c(cc2c(c1)n(c(n2)CCCC(=O)O)C)N(CCCl)CCCl.Cl,45
n1c(nc2c(c1OC)ncn2[C@H]1[C@H]([C@@H]([C@H](O1)CO)O)O)N,46
