kinase,uniprot_id,prediction
AAK1,Q2M2I8,4.95127614944151
AATK,Q6ZMQ8,4.778157839680054
ABL1,P00519,5.4198321576471535
ABL2,P42684,5.325869494671432
ACVR1,Q04771,4.911040031160123
ACVR1B,P36896,4.8272652107916745
ACVR1C,Q8NER5,5.203947360152341
ACVR2A,P27037,4.734957223072431
ACVR2B,Q13705,4.852366788709361
ACVRL1,P37023,4.756976537144887
ADCK1,Q86TW2,4.982563325665117
ADCK2,Q7Z695,5.154934393431255
ADCK5,Q3MIX3,4.768313632697371
AKT1,P31749,4.663012575786738
AKT2,P31751,4.725959139382372
AKT3,Q9Y243,4.678634736024316
ALK,Q9UM73,5.053167661176111
ALPK1,Q96QP1,4.971962767623365
ALPK2,Q86TB3,5.182189711134292
ALPK3,Q96L96,4.938235469005656
AMHR2,Q16671,4.910624655320039
ANKK1,Q8NFD2,4.990776845407394
ARAF,P10398,4.917344427036191
ATM,Q13315,4.754322978909183
ATR,Q13535,4.887026051933766
AURKA,O14965,5.1415689288114645
AURKB,Q96GD4,5.1565392698219465
AURKC,Q9UQB9,5.019423931347738
AXL,P30530,5.00850639416835
BCKDK,O14874,4.921540069153638
BLK,P51451,5.276808997913614
BMP2K,Q9NSY1,4.96706485850329
BMPR1A,P36894,5.13480440737955
BMPR1B,O00238,5.1757199721562515
BMPR2,Q13873,4.70169200814569
BMX,P51813,5.238570278844644
BRAF,P15056,5.191216584583916
BRSK1,Q8TDC3,4.815364698579993
BRSK2,Q8IWQ3,4.762941311534421
BTK,Q06187,4.95078068219089
BUB1,O43683,4.936282656992995
BUB1B,O60566,5.002441459318616
CAMK1,Q14012,4.744211646437407
CAMK1D,Q8IU85,4.829696733162111
CAMK1G,Q96NX5,4.796036447670028
CAMK2A,Q9UQM7,4.851726436265453
CAMK2B,Q13554,4.816764998691996
CAMK2D,Q13557,4.874323478692803
CAMK2G,Q13555,4.855687568162585
CAMK4,Q16566,4.8293105067005975
CAMKK1,Q8N5S9,4.742878543523139
CAMKK2,Q96RR4,4.9592536433641445
CAMKV,Q8NCB2,4.761113286675357
CASK,O14936,4.910128582929266
CDC42BPA,Q5VT25,4.743405984827762
CDC42BPB,Q9Y5S2,4.730360072397119
CDC42BPG,Q6DT37,4.786737405670921
CDC7,O00311,7.150217748999204
CDK1,P06493,4.859076358565444
CDK10,Q15131,5.360939854660215
CDK11A,Q9UQ88,4.84732941729429
CDK11B,P21127,4.802360662732918
CDK12,Q9NYV4,4.904998926805833
CDK13,Q14004,4.803596588948585
CDK14,O94921,4.710041109200837
CDK15,Q96Q40,4.858519707436292
CDK16,Q00536,5.144673183108434
CDK17,Q00537,4.857715695838957
CDK18,Q07002,4.882489421613839
CDK19,Q9BWU1,4.5192754428896045
CDK2,P24941,4.965029221562444
CDK20,Q8IZL9,4.987477990895258
CDK3,Q00526,4.892160962199297
CDK4,P11802,5.159157971236052
CDK5,Q00535,4.876567204603749
CDK6,Q00534,5.046645262941308
CDK7,P50613,5.225737081809283
CDK8,P49336,5.065543940599067
CDK9,P50750,4.818390242879836
CDKL1,Q00532,4.787504883008586
CDKL2,Q92772,4.980307545774981
CDKL3,Q8IVW4,4.674432956594339
CDKL4,Q5MAI5,4.54213320711416
CDKL5,O76039,4.792787306304511
CHEK1,O14757,4.834568732633642
CHEK2,O96017,4.926962234571086
CHUK,O15111,4.836298063312281
CIT,O14578,4.773337288487173
CLK1,P49759,5.405941861555624
CLK2,P49760,5.151030247034646
CLK3,P49761,4.978305036136028
CLK4,Q9HAZ1,5.523528309424593
COQ8A,Q8NI60,4.85412237981196
COQ8B,Q96D53,5.004231531053756
CSF1R,P07333,5.2990890223504294
CSK,P41240,4.9995404161769095
CSNK1A1,P48729,4.721324393158055
CSNK1A1L,Q8N752,4.739307937295365
CSNK1D,P48730,4.784748196777214
CSNK1E,P49674,4.843906817334
CSNK1G1,Q9HCP0,4.912980673146093
CSNK1G2,P78368,4.896534662045719
CSNK1G3,Q9Y6M4,4.901046045863618
CSNK2A1,P68400,4.986823957448825
CSNK2A2,P19784,4.838542577111157
CSNK2A3,Q8NEV1,4.956185458522697
DAPK1,P53355,4.925420261255027
DAPK2,Q9UIK4,4.91106244232129
DAPK3,O43293,4.910973476007769
DCLK1,O15075,4.671434720455101
DCLK2,Q8N568,4.690187119840433
DCLK3,Q9C098,4.967143304861262
DDR1,Q08345,5.409357503366916
DDR2,Q16832,5.0893826172133565
DMPK,Q09013,4.523216783613622
DSTYK,Q6XUX3,5.023873779667557
DYRK1A,Q13627,5.171991265965671
DYRK1B,Q9Y463,4.947727199792453
DYRK2,Q92630,4.908010633159538
DYRK3,O43781,5.120426957178568
DYRK4,Q9NR20,4.830078156523474
EEF2K,O00418,4.6822033643417615
EGFR,P00533,5.105039245973822
EIF2AK1,Q9BQI3,4.812586482615599
EIF2AK2,P19525,4.772029229541076
EIF2AK3,Q9NZJ5,5.072325498236427
EPHA1,P21709,5.10353551968544
EPHA10,Q5JZY3,5.1084831226388765
EPHA2,P29317,5.010283239905387
EPHA3,P29320,4.9834109967675655
EPHA4,P54764,4.996463247772905
EPHA5,P54756,4.98569504777689
EPHA6,Q9UF33,5.323200632308007
EPHA7,Q15375,4.923847749872474
EPHA8,P29322,4.931383864666735
EPHB1,P54762,4.919354334687306
EPHB2,P29323,5.06211116403694
EPHB3,P54753,4.889134399828855
EPHB4,P54760,5.01946115088135
EPHB6,O15197,5.535193633730881
ERBB2,P04626,4.920853053345084
ERBB3,P21860,4.9019757944350495
ERBB4,Q15303,4.974847660901318
ERN1,O75460,4.696458496722018
ERN2,Q76MJ5,4.767407759653544
FER,P16591,5.000297651421651
FES,P07332,4.910881810135605
FGFR1,P11362,5.0937487472083856
FGFR2,P21802,5.132590679947032
FGFR3,P22607,5.078617204813002
FGFR4,P22455,4.951413046981319
FGR,P09769,5.284155988995005
FLT1,P17948,5.203690844538313
FLT3,P36888,5.387358557593528
FLT4,P35916,5.132101536814128
FRK,P42685,5.099796701751799
FYN,P06241,5.234841636448831
GAK,O14976,5.06819629207533
GRK1,Q15835,4.608960327778711
GRK2,P25098,4.656942926705462
GRK3,P35626,4.696493880026047
GRK4,P32298,4.73807383189339
GRK5,P34947,4.6177307510933545
GRK6,P43250,4.63420208493047
GRK7,Q8WTQ7,4.760563292449346
GSK3A,P49840,5.239059626408407
GSK3B,P49841,5.296570270766262
GUCY2C,P25092,4.928188618374886
GUCY2D,Q02846,5.02694296427935
GUCY2F,P51841,4.967830245954184
HASPIN,Q8TF76,5.154490209327408
HCK,P08631,5.268046311782953
HIPK1,Q86Z02,4.973703000667518
HIPK2,Q9H2X6,4.928544135541781
HIPK3,Q9H422,4.990940028764362
HIPK4,Q8NE63,5.09117841686872
HUNK,P57058,4.830530721834235
ICK,Q9UPZ9,4.957896873914793
IGF1R,P08069,4.886114625223346
IKBKB,O14920,4.812316821376141
IKBKE,Q14164,4.885733839090639
ILK,Q13418,5.0579191075187495
INSR,P06213,4.914602297700398
INSRR,P14616,4.93066785752619
IRAK1,P51617,4.823329199393939
IRAK2,O43187,5.058850866925118
IRAK3,Q9Y616,4.996422255148467
IRAK4,Q9NWZ3,4.759037327949544
ITK,Q08881,4.928358825861922
KALRN,O60229,4.890925607509281
KDR,P35968,5.24602013687722
KIT,P10721,5.276161927748692
KSR1,Q8IVT5,4.666229126443371
KSR2,Q6VAB6,4.759581807389415
LATS1,O95835,4.69751741021498
LATS2,Q9NRM7,4.979127669255968
LCK,P06239,5.207768988630136
LIMK1,P53667,4.881447997655641
LIMK2,P53671,4.811408419018095
LMTK2,Q8IWU2,4.66288105538932
LMTK3,Q96Q04,5.311600100982197
LRRK1,Q38SD2,4.937875157590684
LRRK2,Q5S007,5.204769562890675
LTK,P29376,5.151417415192167
LYN,P07948,5.259511087836687
MAK,P20794,4.757674443461461
MAP2K1,Q02750,4.971783025845776
MAP2K2,P36507,4.990563460380486
MAP2K3,P46734,5.075633699046568
MAP2K4,P45985,4.995002823177231
MAP2K5,Q13163,5.176102412764459
MAP2K6,P52564,5.093949192064732
MAP2K7,O14733,4.721667881693369
MAP3K1,Q13233,4.703820682364006
MAP3K10,Q02779,4.978541724727901
MAP3K11,Q16584,4.923264057162516
MAP3K12,Q12852,4.8818376504673715
MAP3K13,O43283,4.799284272627139
MAP3K14,Q99558,4.7334107715368
MAP3K15,Q6ZN16,5.147112474823258
MAP3K19,Q56UN5,4.765000928823433
MAP3K2,Q9Y2U5,4.869305690772817
MAP3K20,Q9NYL2,4.850150190008685
MAP3K21,Q5TCX8,4.973387924634702
MAP3K3,Q99759,4.855434440172754
MAP3K4,Q9Y6R4,4.704559923809159
MAP3K5,Q99683,4.551845492762046
MAP3K6,O95382,4.724576997459051
MAP3K7,O43318,4.9573647276129655
MAP3K8,P41279,4.894284779457397
MAP3K9,P80192,4.976548305375266
MAP4K1,Q92918,5.0162782395825385
MAP4K2,Q12851,5.152666554651752
MAP4K3,Q8IVH8,4.996037010921938
MAP4K4,O95819,5.494178550501157
MAP4K5,Q9Y4K4,5.185711442188056
MAPK1,P28482,4.770842746574823
MAPK10,P53779,5.125893877585572
MAPK11,Q15759,4.929970879795947
MAPK12,P53778,4.791546751949662
MAPK13,O15264,4.795352771012185
MAPK14,Q16539,5.001076956678704
MAPK15,Q8TD08,4.938255251457592
MAPK3,P27361,4.77443017040159
MAPK4,P31152,4.642185924478664
MAPK6,Q16659,4.637458855914135
MAPK7,Q13164,4.709636591753554
MAPK8,P45983,5.006740080206075
MAPK9,P45984,5.118522578616638
MAPKAPK2,P49137,4.777129117915745
MAPKAPK3,Q16644,4.715151301768209
MAPKAPK5,Q8IW41,4.921098280395931
MARK1,Q9P0L2,4.798525052212758
MARK2,Q7KZI7,4.821356753949386
MARK3,P27448,4.856848555002216
MARK4,Q96L34,4.801819866145253
MAST1,Q9Y2H9,4.6690212376325295
MAST2,Q6P0Q8,4.668745457901522
MAST3,O60307,4.611699005700135
MAST4,O15021,4.639191859972611
MASTL,Q96GX5,4.946845075184596
MATK,P42679,5.030904141298212
MELK,Q14680,5.0986739203345035
MERTK,Q12866,5.1165875134325365
MET,P08581,5.120321657907567
MINK1,Q8N4C8,5.237640571608882
MKNK1,Q9BUB5,4.725999235452642
MKNK2,Q9HBH9,4.900132742336218
MLKL,Q8NB16,4.939138687952067
MOK,Q9UQ07,4.834192679080346
MOS,P00540,4.991329221007213
MST1R,Q04912,5.166316895509249
MTOR,P42345,4.885774941615418
MUSK,O15146,5.054503002716503
MYLK,Q15746,4.9463063160864404
MYLK2,Q9H1R3,4.992229286376704
MYLK3,Q32MK0,4.823572975126435
MYLK4,Q86YV6,4.856620358616574
MYO3A,Q8NEV4,4.8397786253761605
MYO3B,Q8WXR4,4.964021116052519
NEK1,Q96PY6,4.913173878069998
NEK10,Q6ZWH5,4.890271936050247
NEK11,Q8NG66,4.774366107794426
NEK2,P51955,4.720213119190799
NEK3,P51956,4.865449127115584
NEK4,P51957,4.952930746299751
NEK5,Q6P3R8,4.693307076684812
NEK6,Q9HC98,4.838336407023
NEK7,Q8TDX7,4.805597019763434
NEK8,Q86SG6,4.908764842358005
NEK9,Q8TD19,4.724531015352607
NIM1K,Q8IY84,4.803688579203802
NLK,Q9UBE8,4.963522378259263
NPR1,P16066,5.19060486602481
NPR2,P20594,5.088057567161126
NRBP1,Q9UHY1,4.780441031123049
NRBP2,Q9NSY0,4.805341966739785
NRK,Q7Z2Y5,5.024941078376047
NTRK1,P04629,5.061228024864715
NTRK2,Q16620,5.022273405608372
NTRK3,Q16288,5.229147066566208
NUAK1,O60285,4.745284438653179
NUAK2,Q9H093,4.964386702391948
OXSR1,O95747,4.706772473581028
PAK1,Q13153,4.834869253734466
PAK2,Q13177,4.87626561278646
PAK3,O75914,4.842438991145572
PAK4,O96013,4.950898177318258
PAK5,Q9P286,4.897616274119182
PAK6,Q9NQU5,4.877336813031899
PASK,Q96RG2,4.807765812858305
PBK,Q96KB5,4.654301278407136
PDGFRA,P16234,5.2925655852991085
PDGFRB,P09619,5.4679554893304925
PDIK1L,Q8N165,4.9282908305180495
PDK1,Q15118,4.948070489046561
PDK2,Q15119,5.0211179059677455
PDK3,Q15120,4.818093843705473
PDK4,Q16654,5.009909277583631
PDPK1,O15530,4.978275779564177
PDPK2P,Q6A1A2,4.9431407117392485
PEAK1,Q9H792,4.878197947390673
PHKG1,Q16816,4.796582395770086
PHKG2,P15735,4.909500708911413
PIK3R4,Q99570,4.774298570668499
PIM1,P11309,4.873077618347008
PIM2,Q9P1W9,5.023209433134667
PIM3,Q86V86,4.963604902251138
PINK1,Q9BXM7,5.242874733281319
PKDCC,Q504Y2,5.119705276782339
PKMYT1,Q99640,4.738252501616225
PKN1,Q16512,4.693310783485979
PKN2,Q16513,4.723245674088309
PKN3,Q6P5Z2,4.8116336427974815
PLK1,P53350,4.821993238010554
PLK2,Q9NYY3,4.600854405645318
PLK3,Q9H4B4,4.7861715341358995
PLK4,O00444,5.2202658798758215
PNCK,Q6P2M8,4.675788721904656
POMK,Q9H5K3,5.085764478029306
PRAG1,Q86YV5,5.105123609243083
PRKAA1,Q13131,4.876471926930584
PRKAA2,P54646,4.737683462799788
PRKACA,P17612,4.644535967505268
PRKACB,P22694,4.562003994708471
PRKACG,P22612,4.553594980243561
PRKCA,P17252,4.629385700090827
PRKCB,P05771,4.644152691403811
PRKCD,Q05655,4.70337793187748
PRKCE,Q02156,4.671953201296702
PRKCG,P05129,4.616098614361995
PRKCH,P24723,4.737285155579029
PRKCI,P41743,4.763544057643543
PRKCQ,Q04759,4.77871628174748
PRKCZ,Q05513,4.6482024097973955
PRKD1,Q15139,4.990100661796939
PRKD2,Q9BZL6,4.918701105853138
PRKD3,O94806,4.956901054374907
PRKDC,P78527,5.1065281933844116
PRKG1,Q13976,4.721014992704786
PRKG2,Q13237,4.821354205393639
PRKX,P51817,4.920063163505798
PRKY,O43930,4.670955514548853
PRPF4B,Q13523,4.7548292232719
PSKH1,P11801,4.790096672302004
PSKH2,Q96QS6,4.751226110202488
PTK2,Q05397,4.945328989241807
PTK2B,Q14289,4.984984042560447
PTK6,Q13882,5.131048058874406
PTK7,Q13308,4.857600228533853
PXK,Q7Z7A4,5.28354815549449
RAF1,P04049,5.001477321494466
RET,P07949,5.50380420160481
RIOK1,Q9BRS2,5.066281613034555
RIOK2,Q9BVS4,4.9340212074656264
RIOK3,O14730,4.856951719927901
RIPK1,Q13546,4.697859993578652
RIPK2,O43353,5.3285250850226795
RIPK3,Q9Y572,4.976190093884663
RIPK4,P57078,4.725633854788038
RNASEL,Q05823,4.896929832009002
ROCK1,Q13464,4.781536228168672
ROCK2,O75116,4.861311498595528
ROR1,Q01973,5.04781623848598
ROR2,Q01974,4.9546245266205595
ROS1,P08922,5.037916317808577
RPS6KA1,Q15418,4.989036239736528
RPS6KA2,Q15349,4.982772916261583
RPS6KA3,P51812,4.953809917614519
